trade_id,player_id,team_id,round,action,quantity,price,timestamp
554,p008,Team_4,4,BUY,15,59.86,2025-11-14 09:00:00
555,p040,Team_3,4,BUY,12,50.89,2025-11-14 09:00:26
556,p014,Team_4,4,BUY,9,50.71,2025-11-14 09:02:46
557,p018,Team_3,4,SELL,2,42.15,2025-11-14 09:04:50
558,p012,Team_3,4,BUY,17,45.62,2025-11-14 09:05:16
559,p004,Team_2,4,BUY,12,48.91,2025-11-14 09:06:22
560,p017,Team_2,4,BUY,1,43.61,2025-11-14 09:08:07
561,p039,Team_4,4,BUY,9,51.05,2025-11-14 09:09:23
562,p019,Team_1,4,BUY,17,46.59,2025-11-14 09:11:24
563,p007,Team_2,4,BUY,9,56.41,2025-11-14 09:13:45
564,p018,Team_4,4,SELL,12,51.39,2025-11-14 09:15:41
565,p011,Team_3,4,BUY,7,49.73,2025-11-14 09:17:57
566,p018,Team_2,4,SELL,6,50.62,2025-11-14 09:20:34
567,p032,Team_4,4,SELL,14,49.01,2025-11-14 09:22:22
568,p001,Team_4,4,BUY,11,50.68,2025-11-14 09:25:08
569,p028,Team_3,4,SELL,6,51.95,2025-11-14 09:27:42
570,p017,Team_2,4,SELL,9,45.1,2025-11-14 09:28:01
571,p005,Team_3,4,BUY,13,52.64,2025-11-14 09:29:17
572,p010,Team_3,4,SELL,3,44.93,2025-11-14 09:30:03
573,p006,Team_3,4,SELL,11,53.85,2025-11-14 09:30:47
574,p039,Team_4,4,SELL,5,46.4,2025-11-14 09:33:26
575,p005,Team_1,4,SELL,11,51.68,2025-11-14 09:33:32
576,p036,Team_2,4,BUY,16,44.93,2025-11-14 09:35:56
577,p019,Team_2,4,SELL,14,44.85,2025-11-14 09:36:05
578,p037,Team_2,4,SELL,13,52.16,2025-11-14 09:38:27
579,p018,Team_1,4,BUY,10,49.89,2025-11-14 09:40:40
580,p018,Team_1,4,SELL,12,39.3,2025-11-14 09:41:02
581,p020,Team_4,4,BUY,1,44.16,2025-11-14 09:41:26
582,p035,Team_2,4,SELL,5,49.35,2025-11-14 09:41:44
583,p029,Team_3,4,SELL,13,49.97,2025-11-14 09:44:34
584,p017,Team_1,4,SELL,13,44.0,2025-11-14 09:45:01
585,p012,Team_3,4,SELL,15,41.98,2025-11-14 09:47:06
586,p012,Team_4,4,BUY,6,45.65,2025-11-14 09:47:32
587,p040,Team_4,4,BUY,12,58.92,2025-11-14 09:48:46
588,p005,Team_3,4,BUY,10,41.7,2025-11-14 09:50:54
589,p035,Team_4,4,SELL,3,56.06,2025-11-14 09:52:39
590,p012,Team_4,4,BUY,3,56.51,2025-11-14 09:55:03
591,p036,Team_2,4,SELL,20,38.61,2025-11-14 09:57:41
592,p024,Team_3,4,SELL,12,51.89,2025-11-14 09:58:22
593,p023,Team_1,4,SELL,2,49.99,2025-11-14 10:00:14
594,p014,Team_2,4,BUY,5,46.96,2025-11-14 10:03:05
595,p006,Team_4,4,BUY,9,49.7,2025-11-14 10:04:35
596,p035,Team_3,4,SELL,14,53.73,2025-11-14 10:05:01
597,p019,Team_3,4,SELL,16,47.16,2025-11-14 10:05:56
598,p003,Team_1,4,SELL,1,47.07,2025-11-14 10:06:49
599,p021,Team_4,4,SELL,13,54.43,2025-11-14 10:07:49
600,p036,Team_4,4,BUY,7,58.14,2025-11-14 10:09:18
601,p008,Team_4,4,BUY,7,52.36,2025-11-14 10:10:23
602,p038,Team_1,4,SELL,17,45.11,2025-11-14 10:12:17
603,p004,Team_1,4,SELL,11,51.42,2025-11-14 10:14:11
604,p025,Team_2,4,BUY,13,55.62,2025-11-14 10:14:44
605,p034,Team_4,4,BUY,9,50.4,2025-11-14 10:16:55
606,p020,Team_4,4,BUY,9,47.64,2025-11-14 10:17:03
607,p004,Team_3,4,BUY,5,50.67,2025-11-14 10:17:08
608,p002,Team_4,4,SELL,4,49.02,2025-11-14 10:19:16
609,p012,Team_2,4,BUY,17,47.17,2025-11-14 10:20:29
610,p026,Team_2,4,SELL,3,44.15,2025-11-14 10:23:10
611,p009,Team_1,4,BUY,10,38.38,2025-11-14 10:23:16
612,p038,Team_1,4,SELL,18,55.19,2025-11-14 10:25:59
613,p012,Team_1,4,SELL,6,55.22,2025-11-14 10:28:03
614,p037,Team_2,4,BUY,13,47.21,2025-11-14 10:30:20
615,p020,Team_2,4,BUY,12,48.38,2025-11-14 10:30:35
616,p013,Team_4,4,SELL,13,51.89,2025-11-14 10:31:07
617,p032,Team_2,4,SELL,16,40.55,2025-11-14 10:33:59
618,p038,Team_1,4,BUY,3,49.43,2025-11-14 10:35:08
619,p032,Team_1,4,BUY,15,42.44,2025-11-14 10:36:27
620,p033,Team_2,4,BUY,10,45.71,2025-11-14 10:38:40
621,p010,Team_3,4,SELL,10,50.26,2025-11-14 10:41:10
622,p038,Team_1,4,BUY,6,52.01,2025-11-14 10:41:47
623,p035,Team_3,4,SELL,8,49.62,2025-11-14 10:43:20
624,p026,Team_4,4,BUY,6,52.16,2025-11-14 10:45:31
625,p004,Team_4,4,SELL,8,54.46,2025-11-14 10:48:04
626,p012,Team_4,4,BUY,10,50.71,2025-11-14 10:50:41
627,p003,Team_4,4,SELL,14,51.19,2025-11-14 10:52:48
628,p011,Team_2,4,SELL,9,46.69,2025-11-14 10:53:36
629,p036,Team_1,4,SELL,11,46.8,2025-11-14 10:53:55
630,p012,Team_1,4,BUY,14,51.25,2025-11-14 10:56:53
631,p032,Team_4,4,BUY,3,51.37,2025-11-14 10:59:16
632,p008,Team_1,4,BUY,1,51.94,2025-11-14 11:00:16
633,p023,Team_1,4,BUY,11,46.63,2025-11-14 11:01:22
634,p038,Team_2,4,SELL,19,41.6,2025-11-14 11:01:37
635,p018,Team_4,4,SELL,20,43.86,2025-11-14 11:03:09
636,p032,Team_4,4,SELL,8,47.09,2025-11-14 11:06:06
637,p009,Team_4,4,SELL,11,47.64,2025-11-14 11:07:44
638,p020,Team_4,4,SELL,9,49.86,2025-11-14 11:09:02
639,p037,Team_2,4,SELL,15,44.36,2025-11-14 11:11:56
640,p030,Team_3,4,SELL,13,41.53,2025-11-14 11:12:39
641,p023,Team_4,4,BUY,6,48.24,2025-11-14 11:14:39
642,p036,Team_1,4,BUY,6,58.49,2025-11-14 11:17:14
643,p010,Team_1,4,SELL,1,61.02,2025-11-14 11:20:11
644,p023,Team_2,4,BUY,5,54.49,2025-11-14 11:21:13
645,p001,Team_1,4,BUY,13,48.64,2025-11-14 11:24:01
646,p036,Team_3,4,BUY,13,48.34,2025-11-14 11:26:30
647,p024,Team_2,4,SELL,7,49.92,2025-11-14 11:28:00
648,p024,Team_1,4,BUY,15,51.91,2025-11-14 11:30:03
649,p035,Team_4,4,BUY,7,48.83,2025-11-14 11:31:02
650,p014,Team_3,4,SELL,2,36.89,2025-11-14 11:33:48
