trade_id,player_id,team_id,round,action,quantity,price,timestamp
391,p031,Team_8,3,BUY,17,52.28,2025-11-13 09:00:00
392,p038,Team_2,3,BUY,9,52.34,2025-11-13 09:02:48
393,p023,Team_8,3,SELL,10,41.33,2025-11-13 09:04:38
394,p010,Team_2,3,SELL,6,56.3,2025-11-13 09:05:44
395,p038,Team_8,3,BUY,9,38.97,2025-11-13 09:07:34
396,p028,Team_7,3,BUY,3,51.02,2025-11-13 09:08:34
397,p019,Team_1,3,BUY,17,43.08,2025-11-13 09:10:35
398,p037,Team_2,3,BUY,8,46.66,2025-11-13 09:12:11
399,p003,Team_7,3,BUY,6,53.04,2025-11-13 09:14:18
400,p030,Team_6,3,BUY,11,52.52,2025-11-13 09:16:56
401,p021,Team_6,3,SELL,6,53.47,2025-11-13 09:17:03
402,p001,Team_5,3,BUY,9,40.25,2025-11-13 09:18:18
403,p033,Team_7,3,BUY,12,43.27,2025-11-13 09:21:06
404,p016,Team_8,3,BUY,5,53.92,2025-11-13 09:23:44
405,p003,Team_3,3,BUY,17,62.18,2025-11-13 09:25:16
406,p019,Team_6,3,BUY,11,47.37,2025-11-13 09:25:31
407,p028,Team_2,3,BUY,5,53.8,2025-11-13 09:26:11
408,p004,Team_8,3,BUY,5,42.37,2025-11-13 09:27:43
409,p006,Team_4,3,SELL,4,60.56,2025-11-13 09:28:56
410,p009,Team_1,3,SELL,13,66.24,2025-11-13 09:31:34
411,p008,Team_6,3,BUY,20,54.96,2025-11-13 09:33:53
412,p026,Team_1,3,SELL,12,61.75,2025-11-13 09:36:50
413,p029,Team_4,3,SELL,2,46.25,2025-11-13 09:39:36
414,p029,Team_2,3,BUY,14,66.38,2025-11-13 09:41:01
415,p030,Team_3,3,SELL,7,55.56,2025-11-13 09:43:59
416,p013,Team_7,3,SELL,12,58.13,2025-11-13 09:44:29
417,p001,Team_4,3,BUY,16,58.58,2025-11-13 09:47:28
418,p030,Team_4,3,SELL,8,45.68,2025-11-13 09:50:24
419,p021,Team_1,3,SELL,9,50.57,2025-11-13 09:50:54
420,p021,Team_1,3,BUY,12,47.01,2025-11-13 09:51:46
421,p009,Team_7,3,SELL,8,48.33,2025-11-13 09:52:14
422,p038,Team_4,3,BUY,11,38.78,2025-11-13 09:54:16
423,p030,Team_2,3,BUY,11,52.72,2025-11-13 09:54:29
424,p037,Team_8,3,BUY,20,57.18,2025-11-13 09:54:53
425,p006,Team_2,3,BUY,13,48.53,2025-11-13 09:56:51
426,p001,Team_5,3,BUY,7,65.44,2025-11-13 09:58:13
427,p036,Team_2,3,BUY,9,49.57,2025-11-13 10:00:51
428,p005,Team_7,3,BUY,13,46.49,2025-11-13 10:03:12
429,p013,Team_6,3,SELL,13,46.31,2025-11-13 10:05:43
430,p018,Team_3,3,BUY,11,52.2,2025-11-13 10:05:49
431,p040,Team_8,3,SELL,14,52.28,2025-11-13 10:06:13
432,p002,Team_6,3,BUY,9,55.67,2025-11-13 10:06:56
433,p028,Team_2,3,BUY,4,46.92,2025-11-13 10:07:10
434,p022,Team_1,3,SELL,12,44.46,2025-11-13 10:09:04
435,p013,Team_1,3,SELL,10,48.27,2025-11-13 10:11:30
436,p004,Team_7,3,SELL,9,34.96,2025-11-13 10:14:17
437,p018,Team_1,3,BUY,11,38.07,2025-11-13 10:14:44
438,p017,Team_5,3,BUY,15,60.27,2025-11-13 10:16:01
439,p037,Team_7,3,BUY,9,47.32,2025-11-13 10:17:16
440,p015,Team_7,3,SELL,12,49.66,2025-11-13 10:18:21
441,p038,Team_7,3,BUY,6,52.27,2025-11-13 10:19:54
442,p015,Team_3,3,BUY,18,53.05,2025-11-13 10:20:31
443,p011,Team_2,3,BUY,4,42.76,2025-11-13 10:22:57
444,p026,Team_2,3,SELL,12,56.88,2025-11-13 10:24:16
445,p015,Team_5,3,BUY,16,51.42,2025-11-13 10:25:23
446,p015,Team_2,3,BUY,11,48.67,2025-11-13 10:27:49
447,p002,Team_2,3,BUY,12,42.66,2025-11-13 10:29:06
448,p018,Team_8,3,SELL,9,52.43,2025-11-13 10:29:13
449,p030,Team_7,3,BUY,1,61.74,2025-11-13 10:32:05
450,p024,Team_5,3,BUY,7,39.67,2025-11-13 10:33:50
451,p005,Team_6,3,SELL,16,55.34,2025-11-13 10:34:14
452,p039,Team_3,3,SELL,13,32.39,2025-11-13 10:36:28
453,p031,Team_7,3,BUY,9,49.07,2025-11-13 10:37:45
454,p013,Team_1,3,SELL,16,42.52,2025-11-13 10:38:46
455,p013,Team_6,3,BUY,15,45.5,2025-11-13 10:41:27
456,p034,Team_2,3,SELL,6,44.1,2025-11-13 10:43:40
457,p033,Team_7,3,BUY,12,35.57,2025-11-13 10:44:25
458,p004,Team_7,3,SELL,9,44.36,2025-11-13 10:46:54
459,p003,Team_6,3,BUY,15,29.77,2025-11-13 10:48:40
460,p003,Team_1,3,SELL,20,44.67,2025-11-13 10:51:11
461,p029,Team_3,3,BUY,12,46.32,2025-11-13 10:51:26
462,p021,Team_6,3,SELL,5,48.56,2025-11-13 10:54:04
