team,offense,defense,home_game_advantage,chemistry,injury_risk
Rocky,0.5028081382377481,0.6439940052914643,0.438417500638574,0.044392444672037734,0.13935181866624233
Mathy,0.8426792234911442,0.19026435075260373,0.567086735397474,0.8959738333821277,0.27625635784214775
Forbes,0.2646392008517453,0.4184540615005744,0.676427760785154,0.20611692324072606,0.1370890331987935
Whitman,0.6193543738410352,0.9239218213422093,0.5548101082222763,0.736704998424765,0.17413148990418942
Yeh,0.08619946266962508,0.08332602192661331,0.07976278130028724,0.5397897726342651,0.13306621378500158
NCW,0.5157001737615209,0.5322855374844074,0.6210202873325362,0.509832872263922,0.04045731555533715
Hobson,0.42596646008943084,0.27451504765258794,0.4527541404525587,0.9626452967313103,0.12448571545725765
Friend,0.9350499634297134,0.27525163803171127,0.999815135295422,0.7418506862091077,0.22158581297904137
Cottage,0.41527773525657385,0.060668340188225534,0.7902830255069808,0.7230147589436549,0.3108600177926943
Charter,0.40535469257246104,0.07241842535780119,0.26942132541549957,0.6337606636496539,0.028693759531328883
TI,0.5142390058992887,0.16910394357608527,0.3784353255271449,0.28408753733318504,0.21195440884925945
Quad,0.049885626104720915,0.44848464350884265,0.6172430765237275,0.7545069683932384,0.20446491554588536
Tower,0.7663949124113775,0.1394369681754729,0.7672974439989267,0.39977403792863164,0.2594354118922462
Ivy,0.5806969302988402,0.5827393358125315,0.6969609943066923,0.8040121631341862,0.17546568326078227
Colo,0.9978844662785615,0.4120471544051819,0.838276962838915,0.18405181905197532,0.025801156923784214
Terrace,0.6350485794032272,0.01636669563710369,0.9966614420904246,0.33841891713899597,0.42449239704414354
