team_id,round,winner
Team_23,1,1
Team_20,1,0
Team_29,1,1
Team_7,1,0
Team_4,1,1
Team_21,1,0
Team_17,1,1
Team_28,1,0
Team_2,1,1
Team_26,1,0
Team_1,1,1
Team_32,1,0
Team_13,1,1
Team_30,1,0
Team_22,1,1
Team_9,1,0
Team_31,1,1
Team_8,1,0
Team_6,1,1
Team_10,1,0
Team_18,1,1
Team_27,1,0
Team_15,1,1
Team_5,1,0
Team_11,1,1
Team_12,1,0
Team_14,1,1
Team_19,1,0
Team_16,1,1
Team_25,1,0
Team_3,1,1
Team_24,1,0
Team_29,2,1
Team_23,2,0
Team_4,2,1
Team_17,2,0
Team_2,2,1
Team_1,2,0
Team_22,2,1
Team_13,2,0
Team_6,2,1
Team_31,2,0
Team_18,2,1
Team_15,2,0
Team_11,2,1
Team_14,2,0
Team_3,2,1
Team_16,2,0
Team_4,3,1
Team_29,3,0
Team_2,3,1
Team_22,3,0
Team_18,3,1
Team_6,3,0
Team_11,3,1
Team_3,3,0
Team_4,4,1
Team_2,4,0
Team_11,4,1
Team_18,4,0
Team_11,5,1
Team_4,5,0
