team_id,old_price,new_price,buys,sells,slip
Team_1,52.58,57.84,0,0,0.0
Team_2,81.5,89.65,0,0,0.0
Team_3,4.58,5.04,0,0,0.0
Team_4,91.58,100.74,0,0,0.0
Team_5,43.17,41.01,0,0,0.0
Team_6,58.67,64.54,0,0,0.0
Team_7,11.67,13.42,17.0,0,0.2
Team_8,25.92,24.62,0,0,0.0
Team_9,37.67,40.31,6.0,0,0.12
Team_10,95.08,90.33,0,0,0.0
Team_11,14.25,15.68,0,0,0.0
Team_12,3.83,3.64,0,0,0.0
Team_13,0.08,0.09,0,0,0.0
Team_14,66.0,72.6,0,0,0.0
Team_15,75.58,83.14,0,0,0.0
Team_16,20.92,23.01,0,0,0.0
Team_17,30.43,33.47,0,0,0.0
Team_18,25.87,28.46,0,0,0.0
Team_19,33.65,31.97,0,0,0.0
Team_20,0.52,0.49,0,0,0.0
Team_21,0.16,0.15,0,0,0.0
Team_22,0.29,0.32,0,0,0.0
Team_23,0.46,0.51,0,0,0.0
Team_24,5.33,5.06,0,0,0.0
Team_25,1.97,1.87,0,0,0.0
Team_26,0.08,0.08,0,0,0.0
Team_27,5.29,5.03,0,0,0.0
Team_28,1.18,1.26,6.0,0,0.12
Team_29,1.48,1.63,0,0,0.0
Team_30,0.2,0.19,0,0,0.0
Team_31,13.38,17.39,14.0,0,0.2
Team_32,0.06,0.06,0,0,0.0
